artist,country,price,year
Shaggy,US,6.99,2001
QSR,US,6.99,2000
"Earth, Wind & Fire",UK,8.99,2003
Sheeba Black,US,6.99,2000
Femi Kuti,US,6.99,2000
Sera,US,6.99,2002
TQ,US,6.99,2003
Nice & Smooth,US,11.99,1989
R.J.'s Latest Arrival,US,6.99,1988
Grady Harrell,US,6.99,1989
Captain G. Whiz,US,17.990000000000002,1988
The Right Choice,US,6.99,1988
Nunya,US,6.99,1988
Kaos & Mystro,US,10.99,1989
Home Town Boyzz,US,6.99,1988
Supervision (2),US,6.99,2001
Suzy K,US,6.99,2003
4-Real,US,7.99,1989
Tyrone Davis,US,8.99,1980
Tatum,US,7.99,1976
The Prime Movers,US,6.99,1995
Various,Brazil,10.99,1980
"Julian ""Cannonball"" Adderley","Vinyl, LP, Reissue, Mono",6.99,US
Iva Zanicchi,Italy,7.99,1975
Tyrone Davis,US,5.99,1980
à;GRUMH...,Belgium,10.99,Jun 1989
Chaz,US,5.99,1982
Godbelow,US,5.99,1999
João Bosco,Brazil,14.99,1980
The Charlie Calello Orchestra,US,8.99,1979
Memphis Bleek,US,6.99,2002
Donna Summer,US,7.99,1999
Dres,US,8.99,1998
Tullycraft,US,7.99,1997
E-Dub,US,6.99,2001
Frankie J,US,6.99,2005
J. (2),US,6.99,2002
Muet,US,6.99,2001
Athena Cage,US,6.99,2001
Most Wanted,US,10.99,1989
Rick James,US,6.99,1984
Trina B,US,6.99,
System Status,UK,14.0,Nov 2010
Various,UK,17.5,2009
De Signer,UK,15.0,15 Nov 2010
Kasper Bjørke,Germany,16.0,13 May 2011
Gramme,UK,17.5,Sep 2012
One Man Edit,Italy,25.0,21 Nov 2011
Frank Booker,UK,16.5,27 Jul 2009
Chamboché,UK,15.0,Oct 2012
Various,UK,16.95,Jun 2012
Farid Chopel,France,13.0,1983
Inner Circle,France,9.5,1982
Roberto Seto Et Ses Rumberos,"Vinyl, 7"", 45 RPM, EP",13.0,France
Various,UK,13.0,1976
Peaches & Herb,Belgium,9.0,1979
The Stylistics,US,10.0,1976
Roque Carbajo (2),France,18.0,1978
Jacques Dutronc,France,11.0,1966
Francis Lai,France,12.0,1981
Les Platters,France,11.0,
Milk 'N' Cookies,"Vinyl, 7"", 45 RPM, Single",16.0,France
Skeletons (6),France,11.0,1987
Trinity (4),Jamaica,16.0,1978
T. Rex,"Vinyl, 7"", 45 RPM, Single",11.0,France
Robert Paquette,France,18.0,1985
Diego (7),France,11.0,
Michel Arbatz,France,13.0,1984
Duke Ellington,Germany,16.0,
Geraldine O'Grady,Ireland,13.0,1972
The Kinks,Spain,16.0,1980
Various,France,38.0,1971
Commander Cody And His Lost Planet Airmen,US,14.0,1980
Randy California,France,13.0,1982
Ray Charles,"Vinyl, 7"", 33 ⅓ RPM, EP",10.0,France
Siouxsie And The Banshees,UK,16.0,1978
K-Reen,France,43.0,1998
Ray Charles,France,14.0,Nov 1961
Filmstudio Orchestra Di Roma,France,12.0,1971
New Riders Of The Purple Sage,US,15.0,1975
American Eagles,Spain,13.0,1979
Midnight Oil,Europe,26.0,1982
Allman Brothers Band,"Vinyl, LP, Album, Reissue",68.0,France
Various,"Vinyl, 7"", 45 RPM, EP,",14.0,UK
The Moody Blues,UK,18.0,1980
Joe Cocker,"Vinyl, 7"", 45 RPM, Single",13.0,France
The Maxx,France,11.0,1988
The Police,France,9.0,1980
Dee Dee Bridgewater,"Vinyl, 7""",9.0,France
Spooky And Sue,France,10.0,1976
Django Reinhardt,France,11.0,1960
John Christian (2),Germany,16.0,1985
Various,France,13.0,
Ringo Starr,Germany,13.0,1976
Manitas De Plata,France,14.0,1974
Detroit Emeralds,Belgium,12.0,1972
Mylene Farmer,France,13.0,29 Jul 1991
Jackie Wilson,France,14.0,1987
Matchbox (3),France,13.0,1979
Jimmy James And The Vagabonds,France,9.0,1976
Primadonna,France,10.0,1984
Joan Baez,France,10.0,1970
New Hotvill's,France,13.0,02 Nov 1974
Royal House,France,10.5,1988
Yazz,France,9.0,1988
UB40,France,9.0,1984
The Royals,Jamaica,18.0,
Various,France,12.0,
Vladimir Cosma,France,11.0,1981
Johnny Hallyday,France,28.0,
Tinga Stewart,UK,12.0,1975
Les Love Affair,"Vinyl, 7"", 45 RPM, Single",14.0,France
Puff Daddy,US,9.0,1996
Amii Stewart,France,9.0,1979
Téléphone,France,10.0,01 Nov 1985
Lio,Germany,12.0,1990
Johnny Hallyday,France,10.0,Aug 1962
Stevie Wonder,France,12.0,1985
Luna Parker,France,11.0,1988
José Garcia (11),Europe,16.0,2002
Eddie Cochran,France,18.0,1982
Various,France,18.0,1974
Mike 303,France,10.0,2000
Nu Shooz,France,10.0,1986
Fools Dance,UK,23.0,1987
Dr. Alimantado,UK,16.0,1978
Paul Anka,France,13.0,1971
Johnny Hallyday,France,11.0,1964
Various,France,10.0,08 Oct 2005
Jean Noel Dupre,France,13.0,1976
Gregory And Friends,France,11.0,
Still T/D,France,12.0,2005
Cliff Bennett & The Rebel Rousers,UK,16.0,1986
Peter Mac Lane,France,13.0,1986
john cat,France,16.0,
Simon Samplar,France,10.0,1999
Joy Division,France,25.0,1981
The Fireballs,US,18.0,1996
Various,Spain,12.0,1965
Visage,Spain,12.0,1982
The Bozo's Boys,France,13.0,1990
Joël Bats,France,10.0,1986
Jah Stich,UK,11.0,1978
Ray Charles,France,9.0,1968
Marvin Scott,France,9.0,1982
Jacques Brel,"Box Set, Compilation",22.0,France
Charlélie,France,10.0,1991
Clint Eastwood,UK,13.0,
Milt Jackson,"Vinyl, LP, Album, Reissue, Mono",14.0,France
Dolly Parton,France,18.0,1976
Raimu,"Vinyl, LP, Reissue, Mono",12.0,France
Tommy James And The Shondells,Germany,11.5,1972
Uriah Heep,"Vinyl, 7"", 45 RPM, Single",11.0,France
Os Mutreteiros Grilados,Portugal,18.0,1976
Bernie Lyon,France,9.0,1979
Company B,France,9.5,1987
Les Wackadous,France,11.0,1959
Naney Pittskelly,France,10.0,1979
TranceLucent (2),France,13.0,2001
The Three Degrees,"Vinyl, 7"", Single, 45 RPM",9.0,Netherlands
Ren Woods,US,10.0,1979
Gene Norman,France,10.0,1956
Errol Scorcher,UK,18.0,
Haïm Saban,France,13.0,1983
Marti (2),France,13.0,1977
Various,"Vinyl, 12"", Unofficial Release",13.0,
Shirley & Company,Netherlands,9.0,1975
Les Taxidermistes,France,14.0,1985
Preset (3),France,10.0,1987
The 1975,UK & Europe,60.99,02 Sep 2013
Osibisa,France,13.0,1974
P'zzazz,France,11.0,1980
Billy Ocean,Belgium,10.0,1976
Tabou Combo,Belgium,9.9,1975
Majesty (17),France,18.0,2004
Nestor (4),France,13.0,1996
Elvis,"Vinyl, LP, Compilation, Reissue",13.0,France
Joan Baez,France,14.0,1983
Johnny,France,11.0,Jun 1968
Jean Pierre Llabador,France,16.0,1985
The Nick Straker Band,France,10.0,1982
Bob Dylan,France,9.5,1979
Barbara Roy,France,10.0,1984
Los Elegantes,Spain,14.0,1983
Various,France,13.0,1979
John Ozila,France,12.0,1985
Dooley Silverspoon,Belgium,10.0,1976
Touché (4),France,9.5,1982
Blizzard (9),France,12.0,1983
Desmond Dekker,UK,20.0,1983
Count Basie & His Orchestra,France,23.0,
Beamtrap,France,15.0,1996
Eruption (4),France,12.0,1977
Alain Mion,France,13.0,
Circus Dream,Italy,11.0,
Red 7,Germany,13.0,1987
Bleu Nuit,France,14.0,1985
Freddie King,"Vinyl, 7"", Single",13.0,Belgium
Jean-Patrick Capdevielle,France,18.0,1990
Honey Boy,UK,16.0,1978
Martin Circus,France,9.0,1979
Future City,France,12.0,1993
Wilson Pickett,Germany,10.0,1973
Barbara Nieman,"Vinyl, LP, Album",18.0,Poland
Jackie Moore,"Vinyl, 7"", Promo",13.0,Spain
The Manhattans,Netherlands,9.0,1976
Bing Crosby,US,13.0,1969
Los Machucambos,France,14.0,1996
Joe Simon,"Vinyl, 7"", 45 RPM, Single",13.0,Belgium
Les Loups (6),France,11.0,1989
Microdisney,UK,9.0,1987
Barry White,Belgium,9.5,1975
Titanic (3),Germany,10.5,1970
Les Rita Mitsouko,France,13.0,1987
Michele,US,11.0,1977
Rosebud,France,13.0,1979
The Batmen,France,12.0,1988
Salif Keita,UK,13.0,1989
Bataan,US,16.0,1974
Rotation (4),France,9.0,1970
Van McCoy,Netherlands,10.0,1975
Various,Netherlands,13.0,1974
The Brothers,Belgium,11.0,1976
Barry White,Germany,9.0,1974
Lady,Netherlands,16.0,2000
Magic System,France,11.0,2006
Adamo,France,14.0,1964
Gilbert Roussel,France,16.0,
Pierre Perret (2),France,11.5,1970
"Joe ""King"" Carrasco Y Las Coronas",France,13.0,05 Jun 1985
Joan Baez,France,15.0,
Latin Lovers (6),France,13.0,1984
Neil Diamond,Europe,11.0,1974
Tahures Zurdos,Spain,13.0,1990
Redbone,"Vinyl, 7"", 45 RPM, Single",10.0,Netherlands
Lovely Previn,Germany,12.0,1982
Inspiral Carpets,France,13.0,1990
Dia (2),Jamaica,23.0,2000
David & David,US,12.0,1986
Don Carlos (2),Jamaica,13.0,
Michèle Torr,France,12.0,1980
Paul McCartney,France,9.0,1980
Russ Morgan (2),US,13.0,1966
The Golden Gate Quartet,France,13.0,1968
Elvis Presley,"Vinyl, 7"", 45 RPM, Single, Reissue",11.0,France
Diane Dufresne,Canada,13.0,1984
Soma Riba,France,13.0,1987
Gospel Group Transit,France,13.0,
Flyin' Saucers (6),France,12.0,28 May 2008
Kassav',France,11.0,1993
The Hues Corporation,Belgium,10.0,1974
Karim Chehab,Spain,15.0,24 Feb 2013
Runaway,US,13.0,13 Jan 2009
Raww,US,14.0,
Stupid Human,UK,25.0,May 2012
Various,Germany,16.0,Feb 2012
Canyons,US,17.5,2009
Luciano,Germany,15.0,30 Oct 2006
Various,Netherlands,15.0,12 Dec 2011
Low Slung,UK,15.0,Feb 2012
Soichi Terada,Japan,100.0,1996
Unknown Artist,,27.5,Mar 2009
Kraftwerk,"Vinyl, LP, Album, Limited Edition, Reissue, Remastered, Special Edition,",27.99,Europe
Fleetwood Mac,Europe,38.49,12 Oct 2018
The Offspring,US,24.99,2008
The Rolling Stones,"Vinyl, LP, Album, Reissue, Remastered,",34.989999999999995,
Rolling Stones,US,30.99,01 Nov 2019
Liz Phair,,70.0,04 Jun 2021
Ryozo Band,Japan,34.27,21 Dec 2016
Al Allen,US,13.0,
Snoop Doggy Dogg,Europe,33.0,1997
Johnny Fiasco,US,18.0,1997
The Village Stompers,US,9.99,1965
Various,"Germany, Austria, & Switzerland",14.5,24 Jun 2013
Various,UK,25.0,2014
Various,UK,25.0,17 Feb 2014
Various,,14.0,Oct 2011
Psychemagik,UK,15.0,2009
Various,Spain,17.5,28 Aug 2012
Arch Enemy,Europe,55.99,08 Sep 2017
Various,Germany,14.0,18 Feb 2011
Bim Marx,US,30.0,03 Aug 2009
Yse Saint Laur'ant,UK,20.0,Jun 2012
Various,Italy,18.5,2014
Enzo Elia,Italy,15.0,10 Oct 2012
Bim Marx,US,26.0,03 Aug 2009
Volta Cab,US,15.5,Jun 2011
Biddu Orchestra,France,14.0,Jan 2008
Zej Burton,Australia,22.5,2013
Stupid Human,UK,30.0,24 May 2010
Various,UK,14.5,04 Nov 2009
DJ Kaos,US,13.0,09 Feb 2009
Brennan Green,UK,13.0,Oct 2006
Heavy Disco,UK,37.5,Jun 2010
Various,UK,13.5,Apr 2011
James Pants,France,15.0,Sep 2011
Rahaan,US,15.5,10 Nov 2008
Onur Engin,UK,35.0,Aug 2011
Various,France,35.0,Sep 2010
A.L-T.,France,40.0,Sep 2008
B.G. Baarregaard,France,17.0,30 Apr 2012
Unknown Artist,France,16.0,2008
Unknown Artist,Italy,17.5,12 Apr 2010
BANDJO,Sweden,14.0,17 Mar 2009
Black Mustang,UK,14.0,27 Aug 2007
Nicholas (14),UK,15.0,Feb 2012
Oto Gelb,US,19.5,2007
Oto Gelb,Germany,14.5,Apr 2010
Various,France,60.0,Jun 2013
Onur Engin,US,17.5,Aug 2010
Disco 3000,UK,17.5,20 Dec 2010
Various,UK,19.0,2005
Stupid Human,UK,22.5,19 Dec 2011
Todd Modes,US,15.0,2013
Various,US,16.0,Apr 2006
City Reverb,UK,14.0,Nov 2008
Death On The Balcony,UK,17.0,Mar 2012
Rahaan,US,25.0,Feb 2011
Randy Barracuda,Finland,14.0,Dec 2008
Dead Rose Music Company,,17.5,Mar 2011
Stupid Human,UK,25.0,Apr 2011
Memory Man,Italy,40.0,04 Oct 2010
Beard Science,UK,22.5,Mar 2012
NI,Italy,20.0,15 Feb 2010
Her Bad Habit,UK,16.0,07 Apr 2008
Pilooski,France,15.0,14 Nov 2006
Daniel Solar,US,15.0,Feb 2011
Daniel Solar,UK,14.0,28 Apr 2010
Onur Engin,US,37.5,08 Feb 2012
Shit Robot,UK,14.0,Mar 2010
Unknown Artist,Italy,32.5,10 Oct 2011
Baby's Gang,"Vinyl, 12""",17.5,Germany
Cosmopolis,Netherlands,15.0,04 Dec 2008
Liaisons Dangereuses,,22.5,2005
Beard Science,UK,22.5,2013
Frank Booker,Japan,20.0,May 2011
Shit Robot,US,22.5,May 2012
Ivory Boy,Italy,15.0,May 2011
Dead Rose Music Company,France,26.0,Nov 2012
Onur Engin,US,14.0,2012
Mark du Mosch,Ireland,20.0,17 Aug 2009
Magick Edit Allstars,Netherlands,50.0,2004
NCAM,UK,14.5,08 Dec 2009
Der Räuber Und Der Prinz,Germany,35.0,Nov 2008
Bernadott,France,16.0,20 Jun 2012
Tambien,Germany,17.0,13 Jun 2013
Flowers And Sea Creatures,UK,15.0,Jul 2012
Duffstep,UK,18.0,Jan 2011
Discodeine,France,16.0,2008
Discodeine,France,13.5,2008
Ray Mang,UK,14.5,2010
Matthew Kyle,Italy,16.95,25 Jul 2011
Onur Engin,Turkey,35.0,03 Feb 2011
Various,US,21.0,21 Jan 2010
Jacques Renault,UK,17.5,Apr 2012
Johan Agebjörn,UK,17.5,10 Mar 2008
Onur Engin,,25.0,13 Dec 2010
One Man Edit,Italy,35.0,19 Jul 2010
Shit Robot,UK,12.0,Apr 2006
John Carpenter,"Vinyl, 12"", 33 ⅓ RPM, Compilation",17.5,Germany
Various,US,23.0,14 Jun 2010
Paul Ray (2),Netherlands,15.0,Dec 2007
Beard Science,UK,32.5,2014
Various,France,20.0,03 Mar 2014
Victor Delicato,Italy,16.25,10 Apr 2008
Shit Robot,US,14.0,22 Oct 2007
Maserati,US,15.0,Sep 2008
The Human Beinz,France,20.0,2006
Skylevel,Germany,19.0,Dec 2013
Arttu,Netherlands,15.0,Nov 2012
Janova Jacks,South Africa,16.0,Oct 2007
Duffstep,UK,14.0,02 Mar 2011
PBR Streetgang,Croatia,14.0,Oct 2008
PBR Streetgang,UK,15.0,08 Jul 2013
Tambien,Europe,14.95,2014
Night Plane,UK,13.0,2009
Ritmolider,,15.0,05 Jan 2009
Greeen Linez,Japan,14.5,09 Dec 2013
Rayko,Finland,30.0,09 Aug 2010
Ritmolider,,15.0,16 Feb 2009
Janova Jacks,South Africa,14.0,2008
Lord Of The Isles,US,28.0,07 Jun 2011
Gramme,UK,20.0,Jul 2012
The Dead Rose Music Co,UK,15.0,15 Nov 2010
DJ Yellow,Germany,16.5,12 Dec 2014
Entro Senestre,US,16.0,21 Jan 2010
Begin (3),UK,35.0,30 Jun 2014
The Swiss,Australia,17.5,27 Sep 2011
The Swiss,Australia,15.0,2007
Sidwho?,Germany,17.0,Feb 2011
Sea Power & Change,UK,15.0,06 Dec 2010
Chicago Damn,UK,14.0,Aug 2011
Luv Jam,UK,14.0,2011
Nelue,Spain,18.0,2010
Richard Sen,UK,17.5,Dec 2013
Various,UK,15.0,Feb 2013
Scott Fraser (2),UK,18.0,16 Jun 2014
Scott Fraser (2),UK,16.5,15 Oct 2012
Richard Sen + Cazbee,UK,14.0,Jul 2009
Various,Germany,35.0,17 Jul 2012
Pablo (12),Ireland,20.0,26 Jan 2015
Posthuman,UK,17.5,2012
Richard Sen And Cazbee,UK,14.0,Feb 2011
Peter Black (2),US,27.5,2003
Jamie 3:26,Netherlands,29.0,2012
Chicago Damn,UK,14.0,Apr 2012
K & B,UK,17.5,Apr 2011
Larse,Germany,14.5,16 Apr 2013
Flowers And Sea Creatures,UK,15.0,20 Sep 2010
Keyboard Masher,UK,20.0,Apr 2012
Nick Chacona & Anthony Mansfield,US,14.0,22 Mar 2012
Chicago Damn,UK,14.0,Oct 2010
Sidwho?,Australia,16.0,May 2010
Tambien,US,14.95,Oct 2013
PBR Streetgang,UK,14.5,Oct 2012
PBR StreetGang,France,15.0,24 Mar 2014
Aleks Zen,UK,14.5,Jul 2012
Various,UK,15.0,Jul 2013
Galax (4),Japan,17.5,20 Jul 2013
Dea (17),UK,30.0,Apr 2012
Nelue,Spain,15.0,09 Jan 2010
Various,UK,17.5,Sep 2010
Diesel/Jarvis,UK,17.0,11 Aug 2014
Various,UK,17.5,2008
Ara Simonian,US,16.0,2007
Franz Underwear,Netherlands,15.0,14 Nov 2013
Club Silencio,UK,14.0,05 Oct 2009
Various,UK,14.0,Sep 2009
Lee Douglas,UK,15.0,23 Jun 2008
Various,Germany,32.5,10 Feb 2012
Mandog,Japan,20.0,20 Jul 2012
System Status,UK,14.5,2012
Various,,30.0,2010
Pablo (12),Ireland,15.0,28 Oct 2013
Pink Monkey Flower,UK,13.95,2007
Mark du Mosch,UK,17.0,Jan 2010
Crazy P,"Vinyl, 12"", 33 ⅓ RPM",17.5,UK
Richard Sen + Cazbee,UK,14.5,Jul 2011
DJ Osmose,US,16.0,Jul 2011
The Dubless,Japan,17.5,26 Sep 2012
Holger Czukay,UK,25.0,2012
Gerhard Heinz,Germany,35.0,2013
Torn Sail,UK,24.0,Jun 2011
Pink Skull,US,15.5,13 Nov 2009
Holger Czukay,UK,20.0,2012
Polonaise,US,14.0,06 Mar 2012
Mudd & Pollard,UK,15.0,14 Apr 2010
Nitetime,Australia,22.5,16 Apr 2012
Entertainment,France,18.5,20 Oct 2008
Turzi,France,14.5,2010
Peaking Lights,US,15.0,06 Feb 2012
Hotlips,US,20.0,2007
Richard Sen & Cazbee,UK,14.0,08 Oct 2008
Pteradactil Disco,UK,16.0,2011
Olololop,Japan,32.5,2012
Richard Sen,Japan,15.5,25 Oct 2010
Various,UK,14.95,Nov 2009
Spectral Empire,UK,15.0,24 Aug 2009
The Revenge (2),Japan,15.0,23 Nov 2009
Peter Black (2),US,16.0,2007
Tyson Ballard,Netherlands,15.0,29 Aug 2011
Mark Du Mosch,Netherlands,22.0,Jun 2013
Diesel / Jarvis,UK,15.0,19 Apr 2014
Diesel/Jarvis,UK,15.0,13 Jan 2014
Various,Greece,32.5,1977
Quarterflash,Greece,26.5,1981
Λέω Μαλένης,Greece,74.0,
Collapsed Lung,UK,17.0,1994
Afrika Bambaataa,UK,20.5,1984
Liz Phair,Germany,60.0,1995
Blondie,Netherlands,28.5,1980
The Soup Dragons,US,32.5,1988
The Cave Singers,US,20.47,2011
Della Reese,US,14.99,1973
Archetypes (2),US,9.99,2011
Jackson Heights,US,24.99,1973
Alicia Juarez,US,8.29,1976
Adam Torres,US,14.99,21 Apr 2015
John Valenti,Japan,33.989999999999995,1981
Shirley MacLaine,US,8.29,1969
See Saw (2),US,7.99,1995
Rick Foster,US,8.29,1976
Reverb Motherfuckers,US,14.99,1990
Rejuvination,UK,10.49,05 Jun 1995
RAYS (3),US,13.79,09 Nov 2018
The Nonce (2),US,10.89,1989
Miller Carr,US,10.49,21 Jun 2015
Michalis Moschoutis,Greece,8.29,13 Nov 2015
Merch,US,10.49,03 Nov 2017
Media Jeweler,,18.990000000000002,06 Apr 2018
Matthew Hart,US,7.99,Jan 2013
Marco Argiro,US,8.29,2012
Machinations,Australia,7.890000000000001,1987
Los Bukis,US,34.989999999999995,1982
Kopecky,US,15.99,19 May 2015
Kevin Greenspon,,7.890000000000001,
Karina (27),Europe,39.99,1986
Jon Batson,US,21.99,1973
Johnny Mathis,US,7.99,1973
John Basile,US,8.29,1985
Johann Sebastian Bach,Germany,10.49,1974
Jimmy Witherspoon,US,8.29,1959
Inner8,UK,10.49,26 Jun 2017
Inhale Mary,US,7.890000000000001,1993
Ray Scott (5),US,8.29,1975
Jimmy Castor,US,8.29,1980
Tommy Stuart (2),US,13.79,
Fantasia No. 2,France,20.39,1977
مهستی,Iran,104.99,
Prism (7),US,8.29,1981
No Artist,US,21.49,2013
Monopoly,,54.99,
Meat Mist,US,8.29,2012
Massimo Ranieri,Italy,8.29,1973
M.C. Osso,US,8.29,1974
Lu Watters' Yerba Buena Jazz Band,US,10.49,
Los Llamarada,US,10.49,2008
The Light Wires,US,10.99,24 Nov 2017
Les Ton Ton Macoutes,US,11.49,26 Feb 2016
Les McCann,US,14.79,1963
Larry Lynch & The Mob,US,10.49,1987
The Kinks,US,13.79,1974
Keepers (3),US,14.89,2015
Justo Almario,US,8.29,1989
Jesse Lee Turner,US,9.98,
Jeffrey Jerusalem,US,7.890000000000001,18 Mar 2011
Horse Stories,UK,7.890000000000001,2002
Helix (7),UK,8.99,09 Apr 2018
The La Donnas,US,6.890000000000001,23 Apr 1996
The Goblins,US,12.89,1998
Various,UK,29.89,1983
Wetbrain (2),US,14.99,2015
Various,US,8.89,2001
Various,US,18.89,1999
The New Wave Hookers,Germany,34.989999999999995,1997
Red Channel (3),UK,12.79,19 Apr 2019
The Pops Merrily,Canada,22.99,1970
P.S. (6),US,22.49,1978
De Gantwerp Rappers,Belgium,8.469999999999999,1980
The Easybeats,US,10.49,Sep 1969
The Doyley Brothers,Belgium,12.99,1975
War Bison,US,19.89,03 Aug 2017
Venus (71),US,9.99,
Twilight Memories Of The 3 Suns,US,19.990000000000002,Jan 2008
Sumeria,US,8.29,20 Jan 1978
Stanley Turrentine,US,12.99,1966
Ruthless (2),Canada,44.99,1985
Ronnie Dyson,US,9.99,1973
Minor Detail,,7.890000000000001,1983
Los Pirañas,US,19.990000000000002,2013
The Lonely Teardrops,US,13.49,2015
A. B. Skhy,US,18.990000000000002,1969
Weapon X (3),US,11.89,1998
Fuschimuschi,UK,10.99,04 Oct 1999
Cowboy Copas,US,79.99,1955
Dakota Staton,US,10.49,1960
Various,"Vinyl, LP, Compilation, Unofficial Release",104.99,US
Sofa Surfers,US,8.99,2003
Jeff Beck,US,37.99,2012
The Staple Singers,US,54.99,1971
Tee-Set,"Vinyl, 7"", 45 RPM, Single",19.89,France
Thresholder,US,14.99,2012
Kool & The Gang,US,9.99,1974
The Kalin Twins,US,7.99,1958
Junebug Slim,US,129.99,
JC Brooks & The Uptown Sound,US,7.890000000000001,2010
James Brown And The Famous Flames,US,8.39,1967
Glide (2),UK,8.99,01 Jul 1996
David T. Walker,US,9.89,1970
Claire Courtney,US,11.89,1974
Bootsy,US,7.99,1980
Jonny Polonsky,US,9.99,17 Feb 2015
The Jon Spencer Blues Explosion,"Vinyl, 7"", 45 RPM, Single",8.29,US
John W. Anderson,US,7.890000000000001,1968
John Fischer,US,15.99,1984
The Jackson 5,US,7.890000000000001,1972
Gil Scott-Heron,US,10.99,1978
Dr. Hook,US,7.49,1982
Destruction Unit,US,14.99,Jul 2013
Curtis Mayfield,US,9.99,1972
Cosmic Michael,US,39.99,
Connie Francis,US,6.99,1983
Carondelet Guy,US,14.89,16 Oct 2016
Buck Million,,7.99,13 Apr 2019
Bob James,US,7.99,1981
The Audio Janitor,US,26.99,1999
Drama (14),Canada,214.99,1979
Deborah Jo Piper,US,8.29,1981
David Horak,US,21.99,1981
Christian Di Maccio,"Vinyl, LP",10.49,US
Chandeli'ers,US,8.89,01 Jun 2016
The Sea-ders,US,24.99,20 Dec 2012
Carlos Maldonado y sus Aguilas,US,8.29,1981
Buddy Tate,US,10.99,1981
Bryan Adams,US,21.99,05 Nov 1984
Birdsmakingmachine,Germany,10.49,Sep 2013
Aria 8,Mexico,24.99,1978
Andrew Keoghan,US,10.49,2016
Airwaves (4),US,8.29,1979
Andy Marshall (4),US,24.89,
Enrique Samaniego Y Su Autentico Tamborazo Zacatecano,US,23.89,
Popdefect,US,8.69,1996
Repeater (5),US,94.89,02 Aug 2011
Gordi (5),US,24.16,08 Jul 2016
Jim-E Stack,US,44.99,07 Apr 2014
Shadowshow,UK,14.89,1983
Mort Sahl,"Vinyl, LP, Album, Mono",8.99,US
Colosseum,US,24.99,
Lil' Son Jackson,France,27.99,1983
Baby (2),US,8.89,26 Nov 2002
Bob Seger & The Silver Bullet Band,France,18.189999999999998,1976
Barry Keys,US,54.99,1980
Wes Bryan,US,104.99,1976
Various,US,184.99,1968
Urban Waste,US,11.64,2014
The Curbfeelers,US,12.99,1993
Crow (4),US,9.99,1971
Coma Club (2),US,9.89,2015
Basic Cable,US,13.79,2013
Reggie Blount,US,12.49,Jul 2016
Puccini (2),US,104.99,1974
Psychic TV / PTV3,US,40.89,2012
Peter Sarstedt,Netherlands,9.99,1984
The Carters (2),US,7.890000000000001,1996
The Ashes,US,54.99,1967
Albert White,US,54.99,
"""Handsome"" Jim Balcom",US,9.49,1958
Self Defense Family,US,10.99,27 Nov 2015
Perry Farrell,Europe,54.99,07 Jun 2019
The Merrymen,Barbados,14.99,
Mavo,Canada,8.99,02 Jul 2013
Mandrill,US,12.99,1973
Leon Payne (2),US,12.89,
Jump With Joey,US,44.79,
Johnny Etue And His Jokers,US,24.89,
Joanna Gruesome,US,14.99,08 Jun 2015
Jo Ann Garrett,,12.39,
Jerry Smith (4),US,29.99,1969
James Brown,US,10.89,1974
High Wolf,"Vinyl, 7"", Limited Edition",19.990000000000002,US
Goldie Wilson,US,14.89,2009
Ducktails,"Vinyl, 7"", 33 ⅓ RPM, Limited Edition",19.990000000000002,US
Dream Phases,US,12.99,20 Apr 2018
The Louvin Brothers,US,8.29,1957
The Illusion,US,10.49,1969
The Heart,US,19.990000000000002,1968
Aerosmith,Europe,23.69,1978
Depeche Mode,"Vinyl, LP, Album, Reissue, Remastered,",34.3,Europe
Electric Light Orchestra,US,5.98,1976
Cruz,Venezuela,44.980000000000004,1977
Antililly,Netherlands,89.99,28 Aug 2020
Akiko (13),Japan,29.33,1997
Harold MacIntyre,Canada,22.0,1981
James Carr,US,44.47,2001
Radiation City,US,9.55,15 Feb 2016
Kid Unknown,UK,20.0,06 Apr 1992
Nightmares On Wax,UK,12.99,12 Aug 1991
The Beatles,US,70.97999999999999,08 Aug 1966
Zeta Reticula,Germany,20.0,20 Apr 2018
Φατμέ,Greece,151.0,1988
Winger,US,44.99,2021
Dinosaur Jr,"USA, Canada & Europe",52.99,27 Sep 2019
Gojira (2),US,183.5,Jan 2021
Ella Fitzgerald,Greece,29.5,
Ice Cube,Europe,37.5,1990
Ultimate Spinach,Greece,160.0,1986
Hugh Masekela,US,143.5,26 Jan 2018
Metallica,UK,90.0,1986
Roger McGuinn,Europe,30.5,1991
Boo-Yaa T.R.I.B.E.,Germany,26.0,1990
General Public,Greece,24.0,1986
Della Reese,South Africa,17.5,1974
Johnny Mercer,US,35.0,1957
Turnstile (2),US,180.0,13 Jan 2015
Ana Roxanne,US,42.0,13 Nov 2020
Ogre (3),UK & Europe,32.989999999999995,25 Oct 2019
久石譲,Japan,82.99,03 Nov 2020
John Beltran,UK,20.0,Oct 2014
Paul & Linda McCartney,"Vinyl, LP, Album, Limited Edition, Reissue, Remastered, Stereo,",41.99,
Misfits,"USA, Canada & Europe",52.99,1996
Bikini Kill,US,30.979999999999997,20 Nov 2012
L'Aroye & Ky,,18.0,2007
Gordon Lightfoot,US,12.0,1976
Bernie Worrell,US,45.980000000000004,1978
Paramore,Europe,31.31,08 Sep 2017
Carla Thomas,UK,139.11,1991
Various,UK,30.5,1993
The Telescopes,UK & Europe,30.5,1990
Scarce,UK,28.5,1994
