artist,country,price,year
Gorilla Mask,Portugal,25.9,12 Nov 2019
9mm Parabellum Bullet,Japan,79.05,10 May 2017
Choeur De L'Eglise Des Anges,US,5.0,
HTRK,US,24.86,Mar 2014
Smokey Robinson,US,5.0,1984
Zehava Ben,Israel,29.0,
Mike Watt,US,31.86,11 Nov 2016
Elvis Presley,Europe,25.29,28 Jul 2017
Los Amantes De Lola,Mexico,32.0,1992
Charley Patton,"Vinyl, LP, Compilation",21.67,US
Earth (2),US,19.46,
Title Fight,US,11.96,2009
The Black Keys,US,21.1,28 Jun 2019
The Residents,Germany,24.58,24 Mar 2017
Loretta Lynn,US,6.25,1972
Melanie Martinez (2),US,30.48,06 Sep 2019
Freddie Hubbard,Europe,23.43,2019
Boots Randolph,Canada,5.0,1972
Altar Boys (2),US,15.0,1987
Leonard Cohen,"Vinyl, LP, Album, Repress,",31.25,Europe
Frank Ocean,Germany,59.5,
Paragliders,Germany,29.0,28 Mar 1995
The Pop Singers And Orchestra,US,8.0,1977
The Police,New Zealand,5.0,16 Dec 1979
Jad Fair,US,30.45,12 May 2015
Belle & Sebastian,US,29.91,
Phil Cook,US,26.64,01 Jun 2018
Susumu Hirasawa,Japan,30.01,03 Nov 2019
Haldolium,Germany,43.0,2000
Orville Peck,US,21.06,22 Mar 2019
The Black Keys,Europe,27.64,28 Jun 2019
Aerosmith,Europe,23.78,13 Sep 2019
Dennis Wilson (2),US,12.190000000000001,13 Apr 2019
Mike Cooley,US,57.98,26 May 2021
The Love Strings Of Mort Garson,US,25.0,1968
Bedřich Smetana,Czechoslovakia,220.0,1966
Bring Me The Horizon,"Vinyl, 12"", EP,",32.989999999999995,US
David Allan Coe,US,16.98,1982
Aditus,Venezuela,42.980000000000004,1985
Andy Williams,US,15.0,1966
Undergang (2),Spain,42.95,2012
Kanye West,US,46.0,18 Mar 2014
Duster (2),"Box Set, Compilation",221.0,US
Angelica (6),UK & Europe,45.0,1990
J Mascis,US,21.06,09 Nov 2018
Andy Williams,US,15.0,1971
Simon & Garfunkel,US,23.080000000000002,19 Oct 2018
Aerosmith,Europe,24.21,13 Sep 2019
Various,Germany,31.9,1995
